序號,書名,作者,出版者,出版年,分類,索書號,藏書位置,數量
56,"	21世紀的21堂課 ",哈拉瑞/林俊宏,天下文化,2019,"人文社科/
社會學","713.9
2019",C,2
57,銓敘法規釋例彙編,銓敘部,上校基業,2024,"專業/教科書/
政府出版品","573.46023
2024",A,2
58,海洋事務治理與科技應用實務,吳東明,五南,2020,"專業/教科書/
政府出版品"," 579.14
2020",B,2
59,海巡灰色地帶與海洋科學研究,吳東明,五南,2023,"專業/教科書/
政府出版品","599.41
2023",C,2
60,氣候賭局：延緩氣候變遷vs.風險與不確定性，經濟學能拿全球暖化怎麼辦？,威廉・諾德豪斯/ 劉道捷 譯,寶鼎,2019,"商業理財/
經濟","328.8018
2021",A,22
61,數據、謊言與真相：Google資料分析師用大數據揭露人們的真面目,賽斯‧史蒂芬斯—大衛德維茲 /陳琇玲 譯,,2017,"商業理財/
經濟","541.415
2017",B,2
62,中國漁業史,李士豪,臺灣商務,1993,"專業/教科書/
政府出版品","437.8092
1993",C,2
63,一九九五年臺海危機期間美國對華政策,林正義,臺灣商務,1985,,"327.73
1985",A,2
64,西遊記與中國古代政治,薩孟武,三民,2018,"文學小說/
文學研究","573.1
2020",B,2
65,政府採購法令彙編,行政院公共工程委員會,行政院公共工程委員會,2020,"專業/教科書/
政府出版品","564.72023
2020",C,2
66,量子領導 非權威影響力：不動用權威便讓人自願跟隨，喚醒人才天賦，創造團隊奇蹟的祕密,洪銘賜,采實文化,2020,"商業理財/
管理與領導","494.2
2020",A,2
67,破浪者哲學：船王趙錫成與夫人朱木蘭的人生智慧,XXX,天下文化,2022,"商業理財/
傳記","783.3886
2022",B,2
